Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2013-09-11 19:52:48;2013-09-12 03:10:13;76%;7:17;;;;0
2013-09-12 19:57:38;2013-09-13 03:13:44;72%;7:16;;;;0
2013-09-15 21:14:24;2013-09-16 03:15:15;72%;6:00;;;;0
2013-09-16 21:06:10;2013-09-17 02:58:42;65%;5:52;;;;0
2013-09-17 19:03:55;2013-09-18 01:43:21;65%;6:39;;;;0
2014-03-04 23:01:57;2014-03-05 05:58:26;80%;6:56;:|;Read for 30m;;0
2014-03-05 23:00:23;2014-03-06 06:00:52;80%;7:00;:|;Read for 30m;;0
2014-03-06 23:03:53;2014-03-07 06:00:52;76%;6:56;:|;Read for 30m;;0
2014-03-09 23:38:29;2014-03-10 06:00:36;63%;6:22;:|;Read for 30m:Stressful day;;0
2014-03-10 23:41:05;2014-03-11 05:59:43;60%;6:18;:(;Stressful day;;0
2014-03-11 23:00:54;2014-03-12 06:00:07;74%;6:59;:|;;;0
2014-03-12 23:16:22;2014-03-13 06:00:55;62%;6:44;:|;;;0
2014-03-13 23:16:55;2014-03-14 05:58:39;78%;6:41;:|;;;0
2014-03-14 23:26:53;2014-03-15 06:37:34;87%;7:10;:|;;;0
2014-03-15 22:47:56;2014-03-16 06:57:45;94%;8:09;:);Worked out;;0
2014-03-16 22:28:17;2014-03-17 05:59:58;82%;7:31;:(;;;0
2014-03-17 21:57:44;2014-03-18 05:58:14;93%;8:00;:|;;;0
2014-03-18 23:09:47;2014-03-19 05:35:36;75%;6:25;:|;;;0
2014-03-19 23:31:01;2014-03-20 06:41:50;60%;7:10;:|;;;0
2014-03-20 22:52:40;2014-03-21 06:05:07;76%;7:12;:(;;;0
2014-03-23 23:19:26;2014-03-24 06:30:53;86%;7:11;:(;;;0
2014-03-24 23:49:06;2014-03-25 06:15:37;69%;6:26;:);;;0
2014-03-25 22:35:23;2014-03-26 06:15:36;80%;7:40;:(;Read for 30m;;0
2014-03-26 22:48:53;2014-03-27 06:00:16;74%;7:11;:|;Read for 30m;;0
2014-03-27 22:50:04;2014-03-28 06:00:19;74%;7:10;:(;;;0
2014-03-29 00:54:09;2014-03-29 08:00:50;84%;7:06;:);;;0
2014-03-30 22:24:56;2014-03-31 06:00:10;72%;7:35;:|;Ate late;;0
2014-03-31 22:23:13;2014-04-01 06:00:34;77%;7:37;:|;Ate late;;0
2014-04-01 23:23:00;2014-04-02 05:59:51;75%;6:36;:|;Ate late;;0
2014-04-02 22:44:33;2014-04-03 06:00:31;78%;7:15;:|;Worked out;;0
2014-04-03 22:43:00;2014-04-04 06:00:36;85%;7:17;:);;;0
2014-04-04 22:45:19;2014-04-05 07:27:31;98%;8:42;:);;;0
2014-04-06 22:19:33;2014-04-07 06:00:15;89%;7:40;:);;;0
2014-04-07 23:33:02;2014-04-08 06:04:05;76%;6:31;:|;;;0
2014-04-08 22:40:58;2014-04-09 06:05:05;78%;7:24;:|;Ate late;;0
2014-04-09 23:20:07;2014-04-10 06:00:27;75%;6:40;:|;;;0
2014-04-10 22:50:37;2014-04-11 06:01:21;82%;7:10;:|;;;0
2014-04-13 23:10:38;2014-04-14 06:15:55;79%;7:05;:|;;;0
2014-04-14 23:15:18;2014-04-15 06:07:26;81%;6:52;:|;;;0
2014-04-15 22:34:16;2014-04-16 06:12:32;87%;7:38;:|;;;0
2014-04-16 22:58:36;2014-04-17 06:10:00;82%;7:11;:|;;;0
2014-04-17 23:33:17;2014-04-18 06:40:19;82%;7:07;:|;;;0
2014-04-18 23:36:54;2014-04-19 06:00:47;75%;6:23;:|;;;0
2014-04-19 22:21:51;2014-04-20 06:47:42;89%;8:25;:|;;;0
2014-04-20 22:36:29;2014-04-21 06:00:31;78%;7:24;:|;;;0
2014-04-21 22:53:09;2014-04-22 05:57:28;75%;7:04;:|;;;0
2014-04-22 22:11:36;2014-04-23 05:57:53;84%;7:46;:|;;;0
2014-04-23 22:31:13;2014-04-24 05:59:13;86%;7:27;:|;;;0
2014-04-24 23:01:46;2014-04-25 05:50:46;73%;6:48;:|;;;0
2014-04-26 00:35:42;2014-04-26 07:31:31;77%;6:55;:|;;;0
2014-04-26 23:16:06;2014-04-27 06:30:26;87%;7:14;:|;;;0
2014-04-27 22:50:31;2014-04-28 06:00:42;81%;7:10;:|;;;0
2014-04-28 22:46:54;2014-04-29 05:57:07;85%;7:10;:|;;;0
2014-04-29 22:46:20;2014-04-30 05:58:52;84%;7:12;:|;;;0
2014-04-30 22:55:29;2014-05-01 06:00:28;77%;7:04;:|;;;0
2014-05-02 01:45:46;2014-05-02 06:23:31;53%;4:37;:|;;;0
2014-05-02 22:15:50;2014-05-03 06:18:03;93%;8:02;:|;;;0
2014-05-03 22:23:40;2014-05-04 06:43:05;94%;8:19;:|;;;0
2014-05-04 23:11:35;2014-05-05 05:57:13;71%;6:45;:|;;;0
2014-05-05 22:19:29;2014-05-06 05:58:13;88%;7:38;:|;;;0
2014-05-06 22:23:28;2014-05-07 04:24:28;65%;6:01;;;;0
2014-05-07 22:02:22;2014-05-08 05:45:24;91%;7:43;:|;;;0
2014-05-08 22:56:17;2014-05-09 05:45:38;67%;6:49;:|;;;0
2014-05-15 22:56:49;2014-05-16 05:56:30;82%;6:59;:|;;;0
2014-05-17 02:23:04;2014-05-17 07:56:33;70%;5:33;:|;;;0
2014-05-17 23:34:28;2014-05-18 06:38:47;83%;7:04;:|;;;0
2014-05-18 23:33:57;2014-05-19 05:56:27;70%;6:22;:|;;;0
2014-05-19 22:32:13;2014-05-20 05:58:10;88%;7:25;:|;;;0
2014-05-20 22:32:15;2014-05-21 05:36:58;83%;7:04;:|;;;0
2014-05-21 22:46:54;2014-05-22 05:42:21;67%;6:55;:|;;;0
2014-05-22 23:01:00;2014-05-23 07:17:38;90%;8:16;:|;;;0
2014-05-23 23:28:02;2014-05-24 06:54:48;84%;7:26;:|;;;0
2014-05-26 22:49:15;2014-05-27 05:57:11;79%;7:07;:|;;;0
2014-05-27 22:43:25;2014-05-28 05:57:30;78%;7:14;:|;;;0
2014-05-28 23:11:46;2014-05-29 05:59:47;75%;6:48;:|;;;0
2014-05-29 22:35:58;2014-05-30 05:49:04;81%;7:13;:|;;;0
2014-05-30 23:48:54;2014-05-31 05:14:35;56%;5:25;:|;;;0
2014-05-31 22:39:49;2014-06-01 08:36:10;86%;9:56;:|;;;0
2014-06-01 22:41:00;2014-06-02 05:53:10;82%;7:12;:|;;;0
2014-06-02 22:38:20;2014-06-03 06:08:21;86%;7:30;:|;;;0
2014-06-03 22:21:36;2014-06-04 06:13:21;91%;7:51;:|;;;0
2014-06-04 23:23:05;2014-06-05 06:00:40;77%;6:37;:|;;;0
2014-06-05 22:15:20;2014-06-06 05:59:28;85%;7:44;:|;;;0
2014-06-06 23:46:46;2014-06-07 07:52:20;85%;8:05;:|;;;0
2014-06-08 00:10:59;2014-06-08 08:07:40;88%;7:56;:|;;;0
2014-06-08 23:38:49;2014-06-09 06:14:49;71%;6:36;:|;;;0
2014-06-09 23:21:04;2014-06-10 05:35:38;74%;6:14;;;;0
2014-06-10 22:00:38;2014-06-11 05:44:47;82%;7:44;:|;;;0
2014-06-11 22:05:55;2014-06-12 05:58:54;93%;7:52;:|;;;0
2014-06-12 23:13:19;2014-06-13 05:57:36;77%;6:44;:|;;;0
2014-06-16 00:14:31;2014-06-16 05:59:48;66%;5:45;:|;;;0
2014-06-16 22:38:27;2014-06-17 06:00:46;80%;7:22;:|;;;0
2014-06-17 22:39:46;2014-06-18 05:43:33;81%;7:03;;;;0
2014-06-18 22:05:44;2014-06-19 05:30:49;87%;7:25;:|;;;0
2014-06-19 22:56:49;2014-06-20 05:57:25;77%;7:00;:|;;;0
2014-06-20 23:23:44;2014-06-21 05:59:59;66%;6:36;:|;;;0
2014-06-22 22:23:45;2014-06-23 05:56:42;89%;7:32;:|;;;0
2014-06-23 21:59:24;2014-06-24 05:46:44;86%;7:47;:|;;;0
2014-06-24 23:27:59;2014-06-25 05:54:53;61%;6:26;:|;;;0
2014-06-25 23:18:50;2014-06-26 06:00:58;76%;6:42;:|;;;0
2014-06-26 23:15:36;2014-06-27 06:00:22;74%;6:44;:|;;;0
2014-06-27 22:42:46;2014-06-28 04:35:40;65%;5:52;:|;;;0
2014-06-28 23:30:52;2014-06-29 06:37:22;72%;7:06;:|;;;0
2014-06-29 22:39:08;2014-06-30 05:58:57;78%;7:19;:|;;;0
2014-06-30 23:48:59;2014-07-01 05:58:06;72%;6:09;:|;;;0
2014-07-01 23:50:25;2014-07-02 05:54:06;67%;6:03;:|;;;0
2014-07-02 22:47:13;2014-07-03 05:54:27;87%;7:07;:|;;;0
2014-07-04 22:44:33;2014-07-05 07:00:48;88%;8:16;:|;;;0
2014-07-06 23:17:16;2014-07-07 06:00:10;64%;6:42;:|;;;0
2014-07-07 23:39:29;2014-07-08 05:59:59;70%;6:20;:|;;;0
2014-07-08 22:36:27;2014-07-09 06:00:35;86%;7:24;:|;;;0
2014-07-09 22:52:33;2014-07-10 05:59:46;72%;7:07;:|;;;0
2014-07-10 22:49:24;2014-07-11 04:30:53;62%;5:41;:|;;;0
2014-07-11 23:32:45;2014-07-12 03:26:30;37%;3:53;:|;;;0
2014-07-20 22:45:58;2014-07-21 05:45:08;81%;6:59;:|;;;0
2014-07-27 22:35:23;2014-07-28 06:09:53;79%;7:34;:|;;;0
2014-07-28 23:28:27;2014-07-29 06:15:01;78%;6:46;:|;;;0
2014-07-29 22:23:41;2014-07-30 05:21:29;78%;6:57;:|;;;0
2014-07-30 21:41:50;2014-07-31 05:44:54;94%;8:03;:|;;;0
2014-07-31 22:01:41;2014-08-01 06:15:21;85%;8:13;:|;;;0
2014-08-04 00:15:53;2014-08-04 06:24:29;70%;6:08;:|;;;0
